au|qual
KELLERMAN, A|7.5
KELLEY, A|12.61403
KELLEY, E|4.333333
KELLOGG, E|4.5
KELLOGG, R|21.66667
KELLY, D|8.944444
KELLY, J|10.38345
KELMAN, S|11.5
KEMP, M|16.36111
KENDRICK, D|6.388889
KENDRICK, J|8
KENEN, P|9.285714
KENG, S|3.833333
KENKEL, D|26.27153
KENNAN, J|18.40159
KENNEDY, R|8.875
KENNEY, M|10.9375
KENNY, L|11.14167
KEOHANE, R|21.5
KEPPO, J|6.5
KER, A|12.375
KERR, J|18
KERR, W|6.474074
KESSEL, R|29.25
KESSELMAN, J|7.5
KESSLER, D|18.71275
KESTEN, O|10.5
KETCHAM, J|11.5
KEVANE, M|11.91667
KEY, N|15.66667
KEYS, B|7.5
KHALIL, E|11.07692
KHALIL, F|13.36364
KHAN, M|14.39382
KHAN, S|6.903333
KHANDELWAL, A|3.866667
KHANG, C|11.44444
KHANNA, J|9.404761
KHANNA, M|19.08333
KHANNA, N|7.655555
KHANNA, T|38.09524
KHATTAK, A|14.83333
KHORANA, A|14.07083
KHURANA, I|2.888889
KHWAJA, A|12.9
KIEFER, N|37.78222
KIESLING, H|25
KIGUEL, M|14
KIHLSTROM, R|29.19444
KIKER, C|9.5
KILBY, P|12
KILIAN, L|20.24792
KILKENNY, M|14
KIM, D|6.84418
KIM, E|22.68889
KIM, I|19.23485
KIM, J|11.29962
KIM, M|11.14
KIM, O|33.33333
KIM, S|15.17111
KIM, T|12.0787
KIMBALL, M|75.05333
KIMBROUGH, K|15.04167
KINAL, T|8.766666
KINDLEBERGER, C|38.66667
KING, A|14.96154
KING, C|2.375
KING, G|4.416667
KING, L|4.833333
KING, R|43.71769
KINNEY, W|40.45833
KINNUCAN, H|9.121212
KINSEY, J|11.25
KIRBY, C|17.53333
KIRCHHOFF, S|34.5
KIRCHSTEIGER, G|60.16667
KIRKLEY, J|10.89103
KIRSHNER, J|18
KIRWAN, B|9
KISGEN, D|4.600001
KITAMURA, R|18.83333
KITAMURA, Y|9.388889
KITAO, S|6
KITCH, E|66.38889
KLAK, T|6.166667
KLASA, S|4.833333
KLAUS, B|3.375
KLEFFNER, A|5.25
KLEIBERGEN, F|16.11111
KLEIN, A|90.25
KLEIN, B|84.81884
KLEIN, D|6.344444
KLEIN, L|8.058333
KLEIN, M|8.755953
KLEIN, P|9.088095
KLEINDORFER, P|10.88426
KLEINER, M|10.54762
KLEIT, A|8.972222
KLEMKOSKY, R|7.5
KLENOW, P|37.69583
KLEPPER, S|58.30778
KLERMAN, D|4.111111
KLETZER, K|12.73077
KLEVORICK, A|29.65
KLIBANOFF, P|9.666666
KLICK, J|6.5
KLING, C|11.0672
KLING, J|21.3782
KLOCK, M|16.55556
KLOPPENBURG, J|7.833333
KLUMPP, T|6.333333
KLUVE, J|5.6
KNAAP, G|23.66667
KNACK, S|57.17188
KNAPP, K|10.34028
KNAPP, L|8
KNAPP, T|12.01667
KNEESE, A|63.05556
KNETSCH, J|152.5
KNETTER, M|40.05208
KNEZ, P|18.15
KNIESNER, T|8.496667
KNIGHT, B|14.94444
KNIGHT, J|9.160256
KNITTEL, C|12.13636
KNOEBER, C|38.28333
KNOTT, J|24
KNOWLES, J|13.60606
KOBAYASHI, B|9.357142
KOCENDA, E|4.994048
KOCHAR, A|28.57143
KOCHERLAKOTA, N|25.15714
KOCHIN, L|11.6875
KOCKELMAN, K|8.055555
KOCKESEN, L|8.75
KOEHLER, D|9.375
KOENIG, T|21.25
KOENKER, R|76.15833
KOFMAN, F|28.88889
KOGAN, L|16.61111
KOGUT, B|76.09524
KOHLBERG, E|46.11905
KOHLHAGEN, S|24
KOHLHASE, J|42.625
KOHLI, A|28.66667
KOHLI, I|7.25
KOHLI, U|16.62963
KOHN, M|21.66667
KOHN, R|10.98889
KOKKELENBERG, E|7.222222
KOLARI, J|3.541667
KOLB, R|4.5
KOLE, S|33.125
KOLENIKOV, S|8.333334
KOLLER, D|11.8
KOLLMAN, K|8.958334
KOLPIN, V|11.66667
KOLSTAD, C|16.64744
KOMLOS, J|47.625
KOMUNJER, I|15.56667
KONAKAYAMA, A|8.166666
KONAR, S|76.75
KONIECZNY, J|10
KONISHI, H|8.041667
KOO, H|18.75
KOOPMANS, T|13.5
KOPCZUK, W|8.371795
KOPPELMAN, F|12.72222
KORAJCZYK, R|30.46296
KOREISHA, S|3.666667
KORMENDI, R|49.2
KORNAI, J|33.22222
KORNHAUSER, L|19.04762
KORTUM, S|36.413
KOSE, M|11.6
KOSKELA, E|3.916667
KOSLOWSKI, R|16
KOSSOUDJI, S|30.86667
KOSZEGI, B|24.38095
KOTCHEN, M|11.67361
KOTHARI, S|41.05864
KOTLIKOFF, L|24.65658
KOU, S|16.5
KOVACIC, W|11.75
KOVENOCK, D|12.74603
KOWALCZYK, C|7.833333
KRAAKMAN, R|5.75
KRACAW, W|5.416667
KRAMER, G|81.75
KRAMER, R|13.04286
KRANTON, R|34.39744
KRASA, S|9.866667
KRASKER, W|37.2
KRAUS, M|10.12821
KRAUS, S|9
KRAUSE, G|5.5
KRAUSE, K|9.880953
KRAUSS, M|19.55556
KRAVIS, I|29.25
KREHBIEL, K|14.375
KREIDER, B|12.53788
KREININ, M|15.7381
KREMER, I|5.083333
KREMER, M|31.15227
KREPPEL, A|17.83333
KREPPS, M|5.75
KREPS, D|142.7879
KREUTER, U|6.944444
KRIDEL, D|10.83333
KRIESEL, W|5.5
KRISHNA, A|22.13095
KRISHNA, K|17.83333
KRISHNA, P|15.78788
KRISHNA, V|22.05952
KRISHNAMURTHY, A|11.6853
KRISHNAN, R|16.77083
KRISTENSEN, D|8.291668
KROSZNER, R|20.1218
KROUSE, C|8.833333
KRUEGER, A|66.02741
KRUEGER, D|5.746296
KRUGMAN, P|132.4936
KRUMM, R|12.6
KRUMME, G|13.2
KRUSELL, P|22.50438
KUBLER, F|6.659091
KUBY, M|17.5
KUGLER, A|5.757894
KUGLER, T|2.55
KUHN, K|3.333333
KUHN, P|7.604167
KUHN, R|8.25
KUIPERS, D|2.333333
KULATILAKA, N|25.5
KUMAR, K|6.201389
KUMAR, P|6.702381
KUMAR, S|19.5
KUMAR, U|5.3
KUMAR, V|7.416667
KUMBHAKAR, S|18.44167
KUNCE, M|6.75
KUNREUTHER, H|19.0216
KUO, S|12.83333
KURAN, T|32.17647
KURUSCU, B|4.770833
KURZ, M|18.76667
KUTAN, A|4.587566
KUZNETS, S|26
KWAK, S|4.888889
KWAN, M|48.5
KWASNICA, A|6.666667
KWOKA, J|17.60714
KWON, I|5.25
KYBURG, H|10.5
KYDLAND, F|111.9444
KYLE, A|221.619
KYLE, M|12.41667
KYLE, S|8.166667
KYRIAZIDOU, E|29.02778
LA PORTA, R|105.6405
LABADIE, P|13.93333
LABAND, D|14.80729
LACHLER, U|8
LACY, S|4.75
LADD, G|17.3
LADD, H|19.47333
LADHA, K|22.5
LADOUX, N|5.291667
LAFFONT, J|21.56806
LAFONTAINE, F|51.85833
LAFRANCE, J|15.60648
LAGOS, R|10.125
LAGUNOFF, R|6.727273
LAHEY, J|8.5
LAHIRI, A|7.122222
LAHIRI, K|7.532051
LAI, E|20.19792
LAI, H|3.75
LAI, K|26.41176
LAI, T|15.2
LAIBSON, D|51.29493
LAING, D|8.48
LAING, J|2.333333
LAITIN, D|9.666665
LAITINEN, K|35.66667
LAITNER, J|16.75
LAJILI, K|5.083333
LAKONISHOK, J|31.70313
LAKSHMANAN, T|6.65625
LAL, D|9.75
LAL, R|11
LALONDE, R|85.7619
LAM, D|19.55
LAM, P|24.25
LAM, T|37.25
LAMB, R|10.75
LAMBERT, R|47.07407
LAMBERTINI, L|21.5
LAMBSON, V|14.82407
LAMDIN, D|7
LAMONT, O|22.61459
LAMOREAUX, N|15.29167
LAMOUREUX, C|38.5
LANCASTER, K|377.8333
LANCASTER, T|29.16667
LANDAU, D|36
LANDE, P|14
LANDES, D|26.25
LANDES, E|56.46666
LANDES, W|61.85714
LANDO, D|51.83333
LANDRUM, M|6.888889
LANDSMAN, W|16.67857
LANE, S|11.5
LANG, H|6.444444
LANG, K|17.56389
LANG, L|72.31548
LANG, M|25.13334
LANGBEIN, L|6.833333
LANGE, A|5.539744
LANGE, G|7.555556
LANGE, M|20.33333
LANGETIEG, T|51.66667
LANGLOIS, R|46.90741
LANJOUW, J|18.52083
LANKFORD, H|11.65
LANKFORD, R|11.54167
LANSING, J|6.166667
LANSINK, A|4.85
LAPAN, H|12.7197
LAPP, J|3.666667
LARKIN, S|4.333333
LARSON, B|11.66071
LARSON, D|9.920138
LASS, D|7.75
LASTRAPES, W|29.63636
LATHAM, W|8
LAU, L|37.59491
LAURY, S|29.2
LAVE, C|23.14583
LAVE, L|11.37351
LAWPHONGPANICH, S|7.583333
LAWRENCE, E|6.733334
LAYSON, S|13
LAYTON, D|13.83333
LAZARUS, W|5.666667
LAZEAR, E|66.08491
LAZONICK, W|20.56061
LE BRETON, M|4.713095
LEACH, J|7.125
LEACHMAN, L|4
LEACHMAN, R|7.5
LEAHY, J|22.53241
LEAHY, P|9.333334
LEAMER, E|47.86207
LEATHAM, D|2.083333
LEBARON, B|36.60606
LEBERGOTT, S|10.5
LEBLANC, L|21.6
LEBRETON, M|5.055555
LEDYARD, J|26.04365
LEE, B|11.78667
LEE, C|12.22163
LEE, D|12.71596
LEE, F|10.5
LEE, J|21.03707
LEE, L|36.96333
LEE, M|16.67593
LEE, R|11.90741
LEE, T|12.73958
LEEB, H|15.5
LEEFLANG, P|9.166665
LEEPER, E|28.75
LEESON, P|12.11765
LEFF, N|42.61111
LEFGREN, L|13.07407
LEFTWICH, R|26.13095
LEGLER, J|8.041667
LEHAVY, R|14.33333
LEHMANN, B|55.16667
LEHN, K|59
LEHRER, E|17.87083
LEIBENSTEIN, H|94.26667
LEIGH, A|8.28
LEIGH, J|22.95833
LEIJONHUFVUD, A|11.0125
LEINBACH, T|7.166667
LEININGER, W|13.66667
LEITCH, G|34.5
LEITZEL, J|4.5
LELAND, H|56.83333
LEMAIRE, J|1.6875
LEMOS, M|19.5
LENCE, S|8.432456
LENK, P|5.416667
LENTNEK, B|5.916667
LENTZ, B|9.611111
LENTZ, R|4.6
LENWAY, S|3.666667
LEONARD, J|36.89286
LEONARD, K|10.60185
LEONARD, T|11.14286
LEONARD, W|6.68424
LEONE, A|20.20833
LEONES, J|4
LEONTIEF, W|162.5
LERMAN, R|21.07143
LERMAN, S|53.625
LERNER, A|18.91667
LERNER, J|26.60517
LEROY, S|33.04762
LESLIE, P|13.59524
LESMOND, D|37.66667
LESSER, W|4.666667
LESTER, D|5.5
LESTER, T|4.375
LETSON, D|10.16667
LETTAU, M|15.40476
LEUNG, S|21.375
LEUTHOLD, J|21.5
LEUTHOLD, R|9.9
LEUZ, C|26.76667
LEV, B|83.71429
LEVCHENKO, A|10.85185
LEVENSON, A|7.208333
LEVI, I|28.5
LEVICH, R|35.2
LEVIN, D|19.18103
LEVIN, H|34
LEVIN, J|19.21569
LEVIN, M|7
LEVIN, R|26.91072
LEVIN, S|15.97159
LEVINE, D|15.04317
LEVINE, J|4.5
LEVINE, P|12.68137
LEVINE, R|68.29076
LEVINSOHN, J|37.88333
LEVINSON, A|20.0942
LEVINSON, D|7.5
LEVISON, D|10.46429
LEVITT, S|35.90334
LEVY, A|9.466666
LEVY, B|25.25
LEVY, D|10.98791
LEVY, H|19.83333
LEVY, P|19
LEVY, S|9.5
LEWBEL, A|23.80983
LEWELLEN, J|37.70833
LEWELLEN, K|20.25
LEWELLEN, W|17.58333
LEWIS, C|13.66667
LEWIS, D|7.469298
LEWIS, E|7.5
LEWIS, G|5.666667
LEWIS, J|15.42593
LEWIS, K|25.51333
LEWIS, L|17.08333
LEWIS, M|11.5
LEWIS, T|13.8869
LEWIS, W|21.80556
LEYDEN, D|6.75
LI, C|10.52273
LI, D|13.5
LI, G|10.22222
LI, H|9.348874
LI, J|8.5
LI, M|19.83333
LI, O|4.055556
LI, Q|8.521429
LI, S|6.28287
LI, T|10.3
LI, V|16.66667
LI, W|12.59667
LI, X|9.041666
LI, Y|7.882353
LI, Z|10.19444
LIANG, Z|8.166666
LIBBY, L|7
LIBECAP, G|17.03736
LICHTENBERG, E|14.55263
LICHTENBERG, F|25.95333
LIE, E|17.92857
LIEBER, S|12.25
LIEBERMAN, C|14.58333
LIEBERMAN, M|56.94444
LIEBESKIND, J|17.33333
LIEBMAN, J|54.31667
LIEBOWITZ, S|51.75
LIEDHOLM, C|16.06667
LIEN, D|9.779411
LIGHT, A|16.22619
LIGON, E|13.2037
LILLARD, L|34.32692
LIM, G|6.222222
LIM, H|8
LIMAO, N|17.27273
LIN, J|10.84667
LINCK, J|16.46667
LIND, R|81.66666
LINDAHL, D|16
LINDAUER, D|8
LINDENBERG, M|8
LINDERT, P|28.67308
LINDLEY, J|4.566668
LINDSEY, L|34.125
LINETSKY, V|12.875
LING, D|9.587301
LINK, A|11.29167
LINK, C|8.153847
LINNEMAN, P|22.9693
LINTNER, J|69.66666
LINZ, S|8.3125
LIPMAN, B|13.71875
LIPPMAN, S|45.28704
LIPSCOMB, J|20.5
LIPSEY, R|22.4
LIPSON, M|26.625
LIPTON, D|6.444445
LIST, J|17.20579
LISTOKIN, Y|7
LITTLE, P|5.283333
LITTLECHILD, S|4.5
LITWACK, J|14.75
LITZENBERG, K|7.25
LITZENBERGER, R|24.66026
LIU, C|6.210526
LIU, D|5.925926
LIU, H|7.229167
LIU, L|9.721154
LIU, P|8.166667
LIU, Q|4
LIU, X|8.5
LIU, Z|11.82738
LIVNAT, J|7.083333
LIZAL, L|7.95
LIZZERI, A|19.10714
LJUNGQVIST, A|15.05926
LLERAS-MUNEY, A|34.7037
LO, A|60.72223
LOBO, J|7.680555
LOCAY, L|17.46667
LOCKE, R|5.958333
LOCKERETZ, W|9.214286
LODGE, D|7.833333
LOEB, S|11.93889
LOEWENSTEIN, G|44.98651
LOEWENSTEIN, U|15.33333
LOGUE, D|18.08333
LOHMANN, S|41.64286
LOHR, L|8.5
LONDREGAN, J|16.125
LONG, B|9.592592
LONG, J|23.69872
LONG, M|13.16667
LONGSTAFF, F|21.7381
LOOMIS, J|22.37325
LOPEZ, R|18.9885
LOPEZ-DE-SILANES, F|117.6222
LOPEZDESILANES, F|32.59722
LOPOMO, G|5.202381
LORD, W|9.541667
LORIE, J|18.25
LOSCHEL, A|4.955555
LOTT, J|21.18468
LOU, X|3.5
LOUGHRAN, T|33.62963
LOUIS, H|11.26191
LOURY, G|51.44271
LOURY, L|20.08333
LOVELL, C|24.59756
LOVELL, M|40.5
LOVENHEIM, M|7.8
LOVERIDGE, S|13.5
LOW, S|8.633333
LOWE, N|6.25
LOWRY, M|22.75
LOWRY, R|15
LU, B|6.333334
LUBOTSKY, D|25
LUCAS, D|24.75
LUCAS, R|200.6333
LUCE, R|22.16204
LUCKING-REILEY, D|57.98958
LUDEMA, R|4.981482
LUDVIGSON, S|20.66667
LUDWIG, J|14.1713
LUDWIN, W|9
LUENBERGER, D|37.8
LUGER, M|5.75
LUH, Y|15.5
LUKE, N|12.5
LUMMER, S|50.75
LUND, J|37.25
LUNDBERG, S|39.85088
LUNDBLAD, C|24.71428
LUNDHOLM, R|20.72222
LUO, X|5.983334
LUPI, F|6.7375
LUPIA, A|16.08333
LUSARDI, A|16.26471
LUSHT, K|9
LUSTIG, H|4.55
LUTTMER, E|33.73333
LUTZ, S|7
LYBBERT, T|6.375
LYMAN, G|3.365079
LYNCH, A|14.47778
LYNCH, L|30.35088
LYNN, L|11
LYON, A|8.5
LYON, R|20.66667
LYON, T|11.26852
LYONS, R|28.7598
LYS, T|21.57692
MA, C|11.42639
MA, J|11.77778
MA, L|13
MAASOUMI, E|8.359375
MACAVOY, P|11.25926
MACCINI, L|20.5
MACCOUN, R|4.458333
MACCULLOCH, R|28.95455
MACDONALD, G|16.54167
MACEY, J|35
MACGARVIE, M|8.4
MACHINA, M|20.5
MACKINLAY, A|84.83334
MACLEOD, W|12.09722
MACNEIL, I|13.33333
MACPHERSON, A|5.916667
MACPHERSON, D|11.2402
MACRAE, D|10.5
MACUNOVICH, D|8.5
MACURDY, T|75.31818
MADAN, D|13.20208
MADANAT, S|8.833333
MADDALA, G|19.45513
MADDEN, J|14.4375
MADDIGAN, R|8.875
MADHAVAN, A|33.79487
MADRIAN, B|21.18889
MADRIGAL, V|5.333333
MAESHIRO, A|14.25
MAGAT, W|23.41146
MAGEE, S|24.67857
MAGGI, G|22.26917
MAGILL, M|13.76754
MAGLIOLO, J|6.611111
MAHAJAN, A|7.266666
MAHAJAN, V|5.555556
MAHAL, A|11.5
MAHDAVI, S|9.75
MAHE, L|6.333333
MAHMASSANI, H|13.49621
MAHONEY, P|10.94444
MAI, C|6.518518
MAILATH, G|26.90972
MAIN, B|17.19444
MAIN, G|9.75
MAINDIRATTA, A|32
MAITAL, S|20.28572
MAITRA, A|4.166667
MAJD, S|67.25
MAJUMDAR, M|8.797101
MAJUMDAR, S|11.75926
MAKHIJA, A|6.5
MAKKI, S|4.166667
MAKOWSKI, L|9.416667
MAKSIMOVIC, V|17.80556
MALANI, A|5.888889
MALATESTA, P|39.91667
MALECKI, E|30.97
MALIK, A|26.76389
MALIK, F|5.333333
MALIZIA, E|12
MALKIEL, B|27.94697
MALMENDIER, U|18.04167
MALONEY, M|14.95
MALPEZZI, S|14.70833
MALUCCIO, J|15.25
MALUEG, D|11.58889
MAMMEN, K|11.66667
MANCALL, P|4.111111
MANCHESTER, J|7.857143
MANCKE, R|32.5
MANDY, D|12.38095
MANELLI, A|8.666667
MANESCHI, A|7
MANI, A|3.666667
MANKIW, N|49.78056
MANN, D|8.8
MANN, H|33.55556
MANN, J|8.666667
MANN, M|69.33334
MANN, S|14.75
MANNERING, F|15.88542
MANNING, W|43.81018
MANOVE, M|15.97619
MANSFIELD, E|64.45686
MANSKI, C|40.80254
MANSO, G|4.25
MANSUR, E|7.036364
MANTEL, R|7.625
MANUELLI, R|25.25278
MARCELLI, E|12.5
MARCELLINO, M|13.6
MARCET, A|37.125
MARCH, J|63.75
MARCUS, A|20.34722
MAREDIA, M|5.444443
MARGO, R|13.44
MARGOLIS, M|6.833333
MARIANO, R|45.48809
MARIGER, R|29.25
MARIMON, R|11.32143
MARINO, A|5.3
MARION, B|9.52
MARION, J|7.25
MARION, N|15.76667
MARK, N|35.31667
MARKOVICH, S|5.3
MARKOWITZ, H|22.33333
MARKS, G|50.66667
MARKS, M|6.202381
MARKUSEN, A|61.51515
MARKUSEN, J|37.86666
MARLIN, J|4.1
MARMAROS, D|15
MARQUEZ, R|20.97222
MARQUIS, M|11.18519
MARRA, M|5.933334
MARSCHAK, J|64
MARSCHAK, T|8.1
MARSCHKE, G|8.666667
MARSHALL, E|8.166666
MARSHALL, J|13.775
MARSHALL, R|16.67157
MARSTON, F|5.733333
MARSTON, R|25.90909
MARSTON, S|41.66667
MARTIN, G|11.80556
MARTIN, R|13.39583
MARTIN, S|7.563889
MARTIN, X|3.041667
MARTINEZ-VAZQUEZ, J|3.739583
MARTINEZVAZQUEZ, J|7.666667
MARTINICH, J|7.625
MARTLAND, C|3.266666
MARTY, A|13.75
MARUYAMA, M|9.666667
MARVEL, H|25.86275
MARX, L|10.35417
MAS, A|18.56944
MASANJALA, W|10.11111
MASCOLELL, A|24.07071
MASKIN, E|42.48118
MASKUS, K|16.41667
MASON, A|10.63333
MASON, C|6.236842
MASON, J|11.86667
MASON, P|14.91667
MASON, W|32.75
MASRY, E|29.83333
MASSELL, B|38.4
MASSON, R|12.8254
MASTEN, S|42.93056
MASTEROV, D|15.33333
MASTERS, S|31.75
MASTERS, W|8.380953
MASULIS, R|56.36666
MATCHAR, D|18.625
MATE, M|11
MATHIOS, A|15.13452
MATISZIW, T|2
MATOS, P|11.5
MATOUSCHEK, N|8.166667
MATRAVES, C|7.888889
MATSCHKE, X|6.25
MATSUI, A|18.30303
MATSUSAKA, J|26.16667
MATSUYAMA, K|34.77976
MATTEY, J|8.833333
MATTHEWS, S|28.96667
MATTSSON, L|7.5
MATUSZ, S|8.291667
MATUTES, C|22.04762
MATZKIN, R|22.14815
MAUER, D|13.77083
MAVROEIDIS, S|12.5
MAVROIDIS, P|8.138889
MAXFIELD, R|8.75
MAXWELL, D|15.1
MAXWELL, J|12.36364
MAXWELL, W|9.437501
MAY, J|16.16667
MAY, P|20.2
MAYDA, A|30.25
MAYDEW, E|13.11905
MAYER, C|19.03819
MAYER, K|12.75
MAYER, S|23.55556
MAYER, T|8.666667
MAYERS, D|21.15873
MAYNARD, L|6.333333
MAYO, J|8.864583
MAZEK, W|10.5
MAZZEO, M|15.83333
MAZZOCCO, M|10.75
MCADAMS, D|9.4
MCAFEE, R|33.3718
MCALPIN, M|8
MCAUSLAND, C|11.16667
MCBRIDE, M|27.47619
MCCABE, G|8.625
MCCABE, K|30.76032
MCCABE, M|13.125
MCCAFFERTY, S|10.5
MCCALL, B|16.11667
MCCALLA, A|7.333333
MCCALLUM, B|33.40774
MCCALMAN, P|13.71429
MCCANN, L|25.23333
MCCARL, B|8.689732
MCCARTHY, F|3.25
MCCARTHY, P|9.846154
MCCARTY, N|26
MCCLELLAN, M|18.27349
MCCLELLAND, G|12.475
MCCLOSKE.DN|24.66667
MCCOMBS, J|3.780952
MCCONNELL, J|39.80555
MCCONNELL, K|19.92982
MCCONNELL, M|49.30416
MCCORMICK, R|13.51515
MCCORRISTON, S|6.041667
MCCRARY, J|19.875
MCCRAW, T|8
MCCULLOCH, J|18.22727
MCCULLOCH, R|15.94167
MCCULLOUGH, B|8.574074
MCCULLOUGH, D|8.283334
MCCULLOUGH, G|5.708334
MCCUSKER, J|7.75
MCDONALD, B|7.5
MCDONALD, C|13.55556
MCDONALD, I|127.25
MCDONALD, J|16.66379
MCDOWELL, J|21.5
MCDOWELL, W|3.25
MCEACHERN, W|15.3
MCELROY, F|7.5
MCELROY, M|69.2619
MCELROY, S|21.33333
MCEWAN, P|19.73333
MCFADDEN, D|59.04747
MCFARLAND, J|8.3125
MCFAUL, M|8.416667
MCGAHAN, A|19.8
MCGARRY, K|21.51852
MCGEARY, K|10.38889
MCGEE, J|35.66667
MCGEE, R|6.166667
MCGILL, G|7.6
MCGREGOR, R|5.041667
MCGUIRE, J|11
MCGUIRE, M|27.38095
MCGUIRE, P|33
MCGUIRE, T|18.23404
MCHONE, W|9.266666
MCKAY, N|10.54167
MCKEAN, R|23.5
MCKEE, M|8.035897
MCKENZIE, D|10.49815
MCKENZIE, L|46.41667
MCKENZIE, R|8.3
MCKEOWN, J|4
MCKEOWN, T|11.5
MCKINNISH, T|5.047618
MCKINNON, R|21.51852
MCKNEW, M|1.916667
MCKNIGHT, R|4.8
MCLAFFERTY, S|31.5
MCLANAHAN, S|5.375
MCLAREN, J|21.34848
MCLAUGHLIN, K|27.11111
MCLAUGHLIN, R|18
MCLENNAN, A|12.26563
MCLURE, C|15.92105
MCMANUS, W|31.13334
MCMICHAEL, P|15.3
MCMILLAN, J|49.77084
MCMILLAN, M|14
MCMILLEN, D|14.20068
MCNALLY, M|15.04762
MCNAMARA, K|7.5
MCNELIS, P|5.5
MCNICHOLS, M|21.64286
MCNICOL, D|13.5
MCNOWN, R|6.530303
MCNULTY, P|20
MCPHETERS, L|7.222222
MCQUEEN, G|16.02083
MCSWEENEY, K|10.56061
MEAD, D|15.33333
MEAD, L|12.5
MEAD, W|11.33333
MEDEMA, S|8.625
MEDINA, J|2.666667
MEDOFF, J|65.71667
MEEKER, E|21.5
MEERMAN, J|10
MEESE, R|72.29487
MEGDAL, S|11.75
MEGNA, P|17.25
MEHDIAN, S|8.75
MEHRA, R|36.19792
MEHTA, D|21.66666
MEHTA, S|6.4
MEI, J|8.5
MEIER, K|15.44444
MEIER, S|13.75
MEINERT, T|2.875
MEIROWITZ, A|7.75
MEISNER, M|7.65
MEISSNER, C|8.875
MELICHER, R|8.624999
MELINO, A|14.66667
MELITZ, M|33.48542
MELLO, A|9.933332
MELLOR, J|11.16667
MELNICK, G|22.1375
MELNIK, M|36.25
MELTON, B|8.027778
MELTZER, A|35.58025
MELTZER, D|33.39243
MELUMAD, N|20.16667
MELVIN, M|13.58333
MENCHIK, P|29.625
MENDELSOHN, R|16.55754
MENDELSON, H|43.66667
MENDOZA, E|26.89506
MENENDEZ, A|8.25
MENENDEZ, M|5.633333
MENEZES, C|9.642858
MENG, L|9.083334
MENKHAUS, D|2.78125
MENNEMEYER, S|6
MEREDITH, G|14.44444
MERLO, A|9.638889
MERRICK, J|6.270833
MERRIFIELD, J|12.5625
MERTON, R|431.8529
MERZ, M|82.5
MESA-LAGO, C|6.375
MESALAGO, C|14.5
MESSER, K|2.511111
MESTER, L|35.00526
MESZAROS, J|22.47222
METCALF, C|20.33333
METCALF, G|9.761905
METRICK, A|43.18205
MEULBROEK, L|15.375
MEULENBERG, M|3.444444
MEUNIER, S|20.5
MEURER, M|12.53571
MEYER, B|41.22396
MEYER, C|17
MEYER, D|7.166667
MEYER, J|21.87826
MEYERS, M|17.33333
MIALON, H|4.208333
MIAN, A|15.01333
MIAN, S|43.83333
MIAO, J|6.055555
MICELI, T|10.89912
MICHAEL, R|36.26923
MICHAEL, S|22
MICHAELY, R|28.65454
MICHALOPOULOS, C|8.888889
MICHALOPOULOS, P|9.966668
MICHEL-KERJAN, E|4.833334
MICHENER, R|15.69048
MIESZKOWSKI, P|38.11111
MIGUEL, E|20.20477
MIHALJEK, D|4.472222
MIKESELL, J|9.148149
MIKESELL, R|17.33333
MIKHAIL, M|14.11111
MIKKELSEN, H|60.04166
MIKKELSON, W|51.09722
MILGROM, P|126.828
MILLAR, J|7.277778
MILLER, A|4.9375
MILLER, B|17.11111
MILLER, D|12.68535
MILLER, G|7.859848
MILLER, J|16.91435
MILLER, L|6.222223
MILLER, M|23.35365
MILLER, N|8.319445
MILLER, R|21.49611
MILLER, S|13.66667
MILLER, W|9.5
MILLIMAN, S|47.25
MILLIMET, D|7.506173
MILLNER, E|9.111111
MILLS, D|22.41176
MILLS, E|50.11458
MILLS, J|11.2
MILYO, J|13.30556
MIN, C|32.83334
MINCER, J|93.875
MINEHART, D|21.16667
MINETTI, R|6.166667
MINKLER, A|26.2
MINKLER, L|9
MINSKY, H|13.08333
MINTEN, B|8.391575
MINTON, B|31.75
MIRACLE, M|5.666667
MIRANDA, M|14.65476
MIRANOWSKI, J|8.346154
MIRAVETE, E|9.333333
MIRCHANDANI, P|3.75
MIRMAN, L|21.67
MIRON, J|25.67544
MIROWSKI, P|17.36842
MISHALANI, R|2.85
MISHKIN, F|33.68576
MISHRA, D|6.38889
MISIOLEK, W|15.6
MITCHELL, D|6.285714
MITCHELL, J|18.99735
MITCHELL, K|32.6
MITCHELL, M|21.7963
MITCHELL, O|16.0875
MITCHELL, P|2.729167
MITCHELL, R|17.05
MITCHELL, S|5.666667
MITCHELL, W|12.33333
MITCHELSON, R|5.25
MITCHENER, K|6.796296
MITCHNECK, B|8
MITRA, T|8.673984
MITROFF, I|6.888889
MITTENDORF, B|4.5
MITTON, T|57.16666
MIYAGAWA, E|8.055555
MIYAO, T|12.08333
MJELDE, J|6.453742
MOBARAK, A|16.5
MOBIUS, M|11.41667
MOCAN, H|9.016666
MOCAN, N|6.488095
MODIGLIA.F|44.375
MODIGLIANI, F|40.73684
MOE, T|81.1
MOEHLING, C|13.25
MOELLER, S|30.88889
MOFFITT, R|32.14456
MOHAPATRA, S|3.222222
MOHRING, H|24.84524
MOHTADI, H|11
MOKHTARI, M|4.375
MOKHTARIAN, P|17.73485
MOKYR, J|12.19048
MOLINARI, F|9.416667
MONDERER, D|100.7778
MONTEIRO, P|5.333333
MONTERO, J|9.923333
MONTGOMERY, W|8.333335
MONTIEL, P|11.56667
